,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,blindirana_vrata,internet,kablovska_tv,klima,lift,novogradnja,tel_prikljucak,uknjizeno_zk,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,nedavno_adaptiran,object_latitude,object_longitude,udaljenost_od_centra
113,370000.0,90.0,3.0,1,Namješten,,Struja,Ilidža - Centar,0.0,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,43.83330275,18.305314715716353,11342.8
114,230000.0,70.0,2.0,4,Namješten,Dobro stanje,Centralno (Plin),Radnicka,14.0,2000-2009,Parket,True,True,True,False,False,False,False,True,True,True,False,True,False,False,43.847581,18.4006615,3751.6
115,219000.0,40.0,2.0,4,Namješten,,Centralno (Plin),Dubrovačka,0.0,1970-1979,Parket,True,True,True,False,False,False,True,True,True,False,False,True,False,False,43.8596025,18.4136328,2474.1
116,178900.0,49.0,2.0,2,Namješten,Novogradnja,Centralno (gradsko),Stupska 19c,0.0,,Parket,False,False,False,False,False,False,False,False,False,False,False,False,False,False,43.8392299,18.3246122,9733.5
117,212000.0,53.0,2.0,8,Namješten,Renoviran,Centralno (gradsko),,0.0,1970-1979,Parket,True,True,True,True,True,False,True,True,False,True,False,True,False,True,0.0,0.0,0.0
118,499000.0,112.0,4.0,11,Namješten,Renoviran,Centralno (gradsko),Dzemala Bijedica,31.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,True,False,False,True,43.8491952,18.3513892,7284.3
119,199000.0,55.0,2.0,Visoko prizemlje,Namješten,Dobro stanje,Centralno (gradsko),Salke Nazečića,3.0,1980-1989,Laminat,True,True,True,False,True,False,False,True,False,True,False,False,False,False,43.8305,18.3502993,9072.0
120,205000.0,58.0,2.0,3,Namješten,Renoviran,Plin,Adema Buće 76,4.52,2000-2009,Parket,True,True,True,False,True,False,True,False,True,True,False,False,False,True,43.8548896,18.364514,6518.8
121,99000.0,32.0,1.0,2,Namješten,Dobro stanje,Centralno (gradsko),,0.0,,Parket,True,True,True,False,False,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0
122,170000.0,34.0,1.5,1,Namješten,Renoviran,Plin,Zaima Šarca,0.0,,Parket,True,False,True,False,False,False,True,True,True,False,True,False,True,True,43.8655584,18.422089,1464.2
123,349000.0,61.0,2.0,20,Namješten,,Centralno (Kotlovnica),,6.0,,,False,False,False,False,True,False,True,True,False,False,True,False,False,False,0.0,0.0,0.0
124,259150.0,71.0,3.0,Visoko prizemlje,Namješten,,Centralno (Plin),Dola,0.0,1960-1969,Laminat,False,True,True,False,False,False,True,True,True,False,False,False,False,False,43.8622845,18.4199273,1665.0
125,342000.0,57.0,2.0,4,Namješten,Renoviran,Centralno (Plin),Vladislava Skarića,0.0,1950-1959,Parket,True,True,True,True,False,False,True,True,True,False,False,False,False,True,43.8587432,18.4269076,1454.4
126,355000.0,50.0,3.0,6,Namješten,Renoviran,Centralno (Plin),,0.0,,Parket,True,True,True,True,True,True,True,True,True,True,False,True,True,True,0.0,0.0,0.0
